experiment,sub_category,condition,N,mean_ms,std_ms,median_ms,p50_ms,p90_ms,p95_ms,p99_ms,success_rate_pct,throughput_rps,source_files
Controlled Latency,Zero-Delay Loopback,Centralized,300,1.406,0.236,1.352,1.352,1.685,1.856,2.251,100.0,N/A (Sequential),results/smoke_test/controlled_latency/trial_1..3_raw.csv
Controlled Latency,Zero-Delay Loopback,EdgeSync Cross-Region,300,2.68,0.883,2.929,2.929,3.638,3.936,4.527,100.0,N/A (Sequential),results/smoke_test/controlled_latency/trial_1..3_raw.csv
Controlled Latency,Zero-Delay Loopback,EdgeSync Local,300,1.674,0.403,1.609,1.609,2.077,2.269,2.665,100.0,N/A (Sequential),results/smoke_test/controlled_latency/trial_1..3_raw.csv
Locality Sensitivity,Locality_L90,L90_Centralized,300,4.142,0.801,4.194,4.194,4.853,5.163,6.06,100.0,N/A (Sequential),results/locality/raw/L90_trial1..3.csv
Locality Sensitivity,Locality_L90,L90_EdgeSync,300,5.209,1.726,4.74,4.74,7.932,9.578,10.76,100.0,N/A (Sequential),results/locality/raw/L90_trial1..3.csv
Locality Sensitivity,Locality_L70,L70_Centralized,300,4.109,0.722,4.204,4.204,4.822,5.047,5.649,100.0,N/A (Sequential),results/locality/raw/L70_trial1..3.csv
Locality Sensitivity,Locality_L70,L70_EdgeSync,300,6.328,2.368,5.215,5.215,10.033,10.719,11.912,100.0,N/A (Sequential),results/locality/raw/L70_trial1..3.csv
Locality Sensitivity,Locality_L50,L50_Centralized,300,4.252,0.944,4.274,4.274,4.957,5.274,6.682,100.0,N/A (Sequential),results/locality/raw/L50_trial1..3.csv
Locality Sensitivity,Locality_L50,L50_EdgeSync,300,7.643,2.553,7.973,7.973,10.925,11.555,11.921,100.0,N/A (Sequential),results/locality/raw/L50_trial1..3.csv
Locality Sensitivity,Locality_L30,L30_Centralized,300,4.277,0.935,4.303,4.303,4.948,5.316,6.603,100.0,N/A (Sequential),results/locality/raw/L30_trial1..3.csv
Locality Sensitivity,Locality_L30,L30_EdgeSync,300,8.929,2.651,9.73,9.73,11.615,12.41,14.123,100.0,N/A (Sequential),results/locality/raw/L30_trial1..3.csv
Locality Sensitivity,Locality_L10,L10_Centralized,300,4.163,0.657,4.229,4.229,4.908,5.063,5.618,100.0,N/A (Sequential),results/locality/raw/L10_trial1..3.csv
Locality Sensitivity,Locality_L10,L10_EdgeSync,300,9.901,1.929,10.148,10.148,11.737,12.276,14.296,100.0,N/A (Sequential),results/locality/raw/L10_trial1..3.csv
Network Sensitivity,L90_0ms,L90_0ms_Centralized,300,1.427,0.28,1.341,1.341,1.827,1.996,2.47,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_0ms_trial1..3.csv
Network Sensitivity,L90_0ms,L90_0ms_EdgeSync,300,1.768,0.667,1.551,1.551,2.833,3.069,3.414,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_0ms_trial1..3.csv
Network Sensitivity,L90_5ms,L90_5ms_Centralized,300,1.37,0.238,1.302,1.302,1.588,1.793,2.448,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_5ms_trial1..3.csv
Network Sensitivity,L90_5ms,L90_5ms_EdgeSync,300,2.312,2.205,1.577,1.577,3.365,8.875,9.157,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_5ms_trial1..3.csv
Network Sensitivity,L90_10ms,L90_10ms_Centralized,300,1.396,0.308,1.292,1.292,1.743,2.093,2.642,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_10ms_trial1..3.csv
Network Sensitivity,L90_10ms,L90_10ms_EdgeSync,300,3.023,3.776,1.729,1.729,4.215,14.137,15.178,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_10ms_trial1..3.csv
Network Sensitivity,L90_20ms,L90_20ms_Centralized,300,1.335,0.179,1.293,1.293,1.529,1.753,1.917,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_20ms_trial1..3.csv
Network Sensitivity,L90_20ms,L90_20ms_EdgeSync,300,3.949,6.812,1.681,1.681,4.719,24.185,24.794,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_20ms_trial1..3.csv
Network Sensitivity,L90_50ms,L90_50ms_Centralized,300,1.409,0.372,1.297,1.297,1.669,1.943,3.154,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_50ms_trial1..3.csv
Network Sensitivity,L90_50ms,L90_50ms_EdgeSync,300,7.032,15.859,1.714,1.714,8.463,54.488,55.038,100.0,N/A (Sequential),results/network_sensitivity/raw/L90_50ms_trial1..3.csv
Network Sensitivity,L50_0ms,L50_0ms_Centralized,300,1.328,0.143,1.292,1.292,1.502,1.617,1.785,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_0ms_trial1..3.csv
Network Sensitivity,L50_0ms,L50_0ms_EdgeSync,300,2.578,0.991,2.901,2.901,3.573,3.848,5.943,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_0ms_trial1..3.csv
Network Sensitivity,L50_5ms,L50_5ms_Centralized,300,1.437,0.247,1.362,1.362,1.739,1.911,2.36,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_5ms_trial1..3.csv
Network Sensitivity,L50_5ms,L50_5ms_EdgeSync,300,5.571,3.728,5.614,5.614,9.57,9.739,10.139,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_5ms_trial1..3.csv
Network Sensitivity,L50_10ms,L50_10ms_Centralized,300,1.497,0.381,1.372,1.372,1.864,2.151,2.937,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_10ms_trial1..3.csv
Network Sensitivity,L50_10ms,L50_10ms_EdgeSync,300,8.087,6.252,8.104,8.104,14.56,14.815,15.136,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_10ms_trial1..3.csv
Network Sensitivity,L50_20ms,L50_20ms_Centralized,300,1.376,0.197,1.327,1.327,1.598,1.724,2.205,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_20ms_trial1..3.csv
Network Sensitivity,L50_20ms,L50_20ms_EdgeSync,300,13.131,11.318,13.54,13.54,24.661,24.807,25.308,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_20ms_trial1..3.csv
Network Sensitivity,L50_50ms,L50_50ms_Centralized,300,1.453,0.289,1.371,1.371,1.809,2.02,2.605,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_50ms_trial1..3.csv
Network Sensitivity,L50_50ms,L50_50ms_EdgeSync,300,28.268,26.388,28.426,28.426,54.993,55.2,55.496,100.0,N/A (Sequential),results/network_sensitivity/raw/L50_50ms_trial1..3.csv
Network Sensitivity,L10_0ms,L10_0ms_Centralized,300,1.381,0.177,1.345,1.345,1.615,1.72,2.005,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_0ms_trial1..3.csv
Network Sensitivity,L10_0ms,L10_0ms_EdgeSync,300,3.361,0.588,3.435,3.435,3.881,4.05,4.64,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_0ms_trial1..3.csv
Network Sensitivity,L10_5ms,L10_5ms_Centralized,300,1.432,0.207,1.38,1.38,1.72,1.852,2.037,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_5ms_trial1..3.csv
Network Sensitivity,L10_5ms,L10_5ms_EdgeSync,300,8.622,2.272,9.196,9.196,9.836,10.125,11.64,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_5ms_trial1..3.csv
Network Sensitivity,L10_10ms,L10_10ms_Centralized,300,1.762,0.739,1.514,1.514,2.429,3.965,4.45,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_10ms_trial1..3.csv
Network Sensitivity,L10_10ms,L10_10ms_EdgeSync,300,13.217,3.775,14.369,14.369,14.943,15.161,15.885,100.0,N/A (Sequential),results/network_sensitivity/raw/L10_10ms_trial1..3.csv
