trial_id,scenario,request_id,architecture,source_region,target_region,failure_state,failure_injection_timestamp,failure_recovery_timestamp,success,http_status,fallback_triggered,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,state_hash,observation_count,timestamp,workload_hash
trial2,scenario_2_peer_unavailable,req_0001,EdgeSync,EAST,WEST,baseline,,,True,200,False,2.875,0.113,1.535,0.113,09efc41065214ea29e2b7620986b48c58323cb3d44dd1a5f6a64389f9455bd30,500,1787636458.6,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0002,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.566,0.138,0.0,0.138,bd193d447efff93046330021ef0c9f20aa7df2435f24d7642aeff77a3e23819c,500,1787636458.604,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0003,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.42,0.237,1.725,0.237,9e685efe0bff99071737a96234a66a3095af49ec6bc3ef2006f01ad45ab1ac8b,500,1787636458.633,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0004,EdgeSync,EAST,EAST,baseline,,,True,200,False,2.225,0.25,0.0,0.25,b29c0d481c56b76572c67109e39a9344a78fa66c49e10cfade72b1a029a1a013,500,1787636458.648,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0005,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.514,0.22,1.65,0.22,2f44a7d0c2afa4ef84e2e7638620e9c3b62305e62aba66de5904452a2597d8e8,500,1787636458.679,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0006,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.956,0.264,0.0,0.264,5a6ed7f977c4eab5a7462d45d33809d97a172d8d0764990f70e7529dbc92b169,500,1787636458.695,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0007,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.681,0.246,1.707,0.246,fa7501e982d0679962842e66ed2b822130fb5e35c76e45dcf391691c7fb611b4,500,1787636458.726,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0008,EdgeSync,EAST,EAST,baseline,,,True,200,False,2.104,0.251,0.0,0.251,fba9dc90c8f46eadd2c45215a0b871ba012b5a8270b21ec969bddec7f7d33620,500,1787636458.756,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0009,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.783,0.242,1.656,0.242,94ee0687006ee6b92df09baab5104643193c3fff008c7d25c7eba0941cebce04,500,1787636458.787,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0010,EdgeSync,EAST,EAST,baseline,,,True,200,False,3.435,0.568,0.0,0.568,6a6efca6642420236c336b4434a2a1e1d134dcdd4aae467360f7c7900432f0f3,500,1787636458.817,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0011,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.721,0.223,1.715,0.223,5731a23a91291ae3c8eb01d6302c4900f3164237a5cb24a0e50b9e69202c9e45,500,1787636458.849,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0012,EdgeSync,EAST,EAST,baseline,,,True,200,False,2.641,0.485,0.0,0.485,3cdf533f5ca20b3f8712d50547382feb85f7e45ab0a5bbb89a0886400d4dbd6a,500,1787636458.854,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0013,EdgeSync,EAST,WEST,baseline,,,True,200,False,4.371,0.56,2.003,0.56,4c55884ee208ce4435b63d825df0ee9b0d91038e8cc3f9f5351fb37504607f45,500,1787636458.879,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0014,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.834,0.234,0.0,0.234,e8184256c65fb5bd9207d3403db3432bbf4e8a54f8ddf4ac9e4b599496203c4f,500,1787636458.909,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0015,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.742,0.216,1.771,0.216,a700000c026e3f97ee802447c131d08899153b58485dced89f397494cc24b3a7,500,1787636458.939,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0016,EdgeSync,EAST,EAST,baseline,,,True,200,False,2.03,0.249,0.0,0.249,7ea59c0d9001569415ade797b612935adc4d92eccd0032b085e22a1d3b383eb4,500,1787636458.944,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0017,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.343,0.209,1.676,0.209,5b79e2c3ca6d7edd14bce764a09b9b1acc5a6a796ad7d190b9704bede6b04d39,500,1787636458.95,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0018,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.607,0.228,0.0,0.228,797ef5616f5cc82ba50deec9d493487ee55acc2626cfd1f97f14fb299d39a806,500,1787636458.97,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0019,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.674,0.397,1.691,0.397,1c42f89d10fbf96af44e248b96ae994d6f3c0aa8395d5e771514183e47101161,500,1787636459.0,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0020,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.936,0.221,0.0,0.221,2b2ba29823bb2e457c2394d6308ef5aa71ba2f137fab8e473e71753152cc0cbd,500,1787636459.015,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0021,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.73,0.254,1.713,0.254,970a1580a21baac12a59510cca1ee31a3c61b14e57343b8ff1fe34f7fd9a3789,500,1787636459.021,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0022,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.683,0.161,0.0,0.161,e6020f9ffcf16dd8c0e3b50f2a8b8423b733be8183a24cd4382a39bf806cf121,500,1787636459.046,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0023,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.34,0.226,1.563,0.226,f9e5b065e98528a0bfe0c29dc3f9afa70c4977039735597eb13a5c763ed416da,500,1787636459.076,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0024,EdgeSync,EAST,EAST,baseline,,,True,200,False,1.963,0.273,0.0,0.273,39898b86c75d2ec8f5231135e80baf1c845937c2bd028f4e9da610422fe3b31b,500,1787636459.092,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0025,EdgeSync,EAST,WEST,baseline,,,True,200,False,3.753,0.216,1.956,0.216,c19102c76028e66e8f1a8719ae7e8a3047dcaaed8b2f3b01aefbaf582447c0f4,500,1787636459.123,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0026,EdgeSync,EAST,EAST,baseline,,,True,200,False,2.214,0.225,0.0,0.225,0b8d501f2e764a0c4a88b766669b4b983faf29b1ce0988c32043198a251797de,500,1787636459.139,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0027,EdgeSync,EAST,WEST,baseline,,,True,200,False,4.262,0.222,1.962,0.222,f192e38221a1c4313cb2d7b42479ce2e1a3b0b4a94c69595c5fcc56687e0e461,500,1787636459.171,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
trial2,scenario_2_peer_unavailable,req_0028,EdgeSync,EAST,EAST,baseline,,,True,200,False,3.742,0.54,0.0,0.54,c43d4d59684b186723737e99aac08fc0cce07d9aa4c764dee15b084efc827197,500,1787636459.179,aee0dbba16821b346f188f27c86a80e8fe9d9e727b3d395668bd5ae0d0f01413
