scenario,phase,N,total_p50,total_p95,total_p99,total_mean,system_mean,network_mean
scenario_0_baseline,baseline,150,2.907,4.24,5.216,2.703,0.122,0.873
scenario_0_baseline,failure,300,2.715,3.822,4.135,2.593,0.131,0.844
scenario_0_baseline,recovery,150,2.533,3.846,4.3,2.625,0.147,0.849
scenario_1_peer_crash,baseline,150,2.828,4.167,5.646,2.828,0.21,0.891
scenario_1_peer_crash,failure,300,2.805,2060.532,2065.937,1024.823,0.234,1022.649
scenario_1_peer_crash,recovery,150,2.785,4.262,26.568,3.054,0.211,1.165
scenario_2_peer_unavailable,baseline,150,3.598,28.339,33.831,8.205,0.155,0.593
scenario_2_peer_unavailable,failure,300,22.528,2056.966,2061.412,689.19,0.166,681.393
scenario_2_peer_unavailable,recovery,150,3.474,27.581,31.828,8.115,0.147,0.884
scenario_3_network_partition,baseline,150,23.808,33.268,35.522,20.283,0.0,0.0
scenario_3_network_partition,failure,300,23.923,30.762,35.547,20.659,0.0,0.0
scenario_3_network_partition,recovery,150,24.331,34.285,39.056,21.048,0.0,0.0
scenario_4_loss_1pct,baseline,150,23.656,33.185,39.29,21.079,0.0,0.0
scenario_4_loss_1pct,failure,300,24.253,33.481,39.152,21.535,0.0,0.0
scenario_4_loss_1pct,recovery,150,22.844,31.502,36.338,21.001,0.0,0.0
scenario_4_loss_5pct,baseline,150,25.091,36.223,40.254,23.147,0.0,0.0
scenario_4_loss_5pct,failure,300,26.241,36.544,41.213,24.263,0.0,0.0
scenario_4_loss_5pct,recovery,150,24.454,32.329,36.166,22.32,0.0,0.0
scenario_4_loss_10pct,baseline,150,22.055,38.406,45.613,24.887,0.0,0.0
scenario_4_loss_10pct,failure,300,24.202,35.804,40.56,24.986,0.0,0.0
scenario_4_loss_10pct,recovery,150,22.448,36.442,41.471,24.463,0.0,0.0
scenario_5_partition_recovery,baseline,150,20.74,39.256,42.985,23.826,0.0,0.0
scenario_5_partition_recovery,failure,300,20.719,39.576,45.687,23.954,0.0,0.0
scenario_5_partition_recovery,recovery,150,20.216,39.268,44.832,23.553,0.0,0.0
scenario_6_node_recovery,baseline,150,3.483,37.925,46.186,10.276,0.056,0.596
scenario_6_node_recovery,failure,300,20.907,2056.755,2063.066,691.096,0.131,681.355
scenario_6_node_recovery,recovery,150,3.927,34.749,38.959,10.268,0.113,0.972
