scenario,trial_id,detection_latency_ms,recovery_latency_ms,first_sync_ms,convergence_time_ms,state_converged,missing_observations,duplicate_observations
scenario_0_baseline,trial1,0.0,27.09,0.0,0.0,True,0,0
scenario_0_baseline,trial2,0.0,6.66,0.0,0.0,True,0,0
scenario_0_baseline,trial3,0.0,29.59,0.0,0.0,True,0,0
scenario_1_peer_crash,trial1,3079.46,1960.8,0.0,0.0,True,0,0
scenario_1_peer_crash,trial2,3075.11,1986.71,0.0,0.0,True,0,0
scenario_1_peer_crash,trial3,3100.09,2001.52,0.0,0.0,True,0,0
scenario_2_peer_unavailable,trial1,3076.25,1977.9,0.0,0.0,True,0,0
scenario_2_peer_unavailable,trial2,3066.42,1999.05,0.0,0.0,True,0,0
scenario_2_peer_unavailable,trial3,0.0,2013.7,0.0,0.0,True,0,0
scenario_3_network_partition,trial1,0.0,30.42,0.0,0.0,True,0,0
scenario_3_network_partition,trial2,0.0,70.89,0.0,0.0,True,0,0
scenario_3_network_partition,trial3,0.0,60.98,0.0,0.0,True,0,0
scenario_4_loss_1pct,trial1,0.0,45.96,0.0,0.0,True,0,0
scenario_4_loss_1pct,trial2,0.0,45.31,0.0,0.0,True,0,0
scenario_4_loss_1pct,trial3,0.0,17.42,0.0,0.0,True,0,0
scenario_4_loss_5pct,trial1,0.0,43.15,0.0,0.0,True,0,0
scenario_4_loss_5pct,trial2,0.0,27.55,0.0,0.0,True,0,0
scenario_4_loss_5pct,trial3,0.0,28.66,0.0,0.0,True,0,0
scenario_4_loss_10pct,trial1,0.0,43.12,0.0,0.0,True,0,0
scenario_4_loss_10pct,trial2,0.0,46.44,0.0,0.0,True,0,0
scenario_4_loss_10pct,trial3,0.0,35.35,0.0,0.0,True,0,0
scenario_5_partition_recovery,trial1,0.0,62.1,200.0,400.0,True,0,0
scenario_5_partition_recovery,trial2,0.0,70.38,200.0,400.0,True,0,0
scenario_5_partition_recovery,trial3,0.0,39.65,200.0,400.0,True,0,0
scenario_6_node_recovery,trial1,0.0,1949.23,200.0,400.0,True,0,0
scenario_6_node_recovery,trial2,3084.27,1981.26,200.0,400.0,True,0,0
scenario_6_node_recovery,trial3,3053.2,2002.19,200.0,400.0,True,0,0
