scenario,phase,N,successful_requests,fallback_activations,availability_pct,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,stddev_ms
scenario_0_baseline,baseline,150,150,0,100.0,2.703,2.907,3.775,4.24,5.216,0.956
scenario_0_baseline,failure,300,300,0,100.0,2.593,2.715,3.7,3.822,4.135,0.868
scenario_0_baseline,recovery,150,150,0,100.0,2.625,2.533,3.7,3.846,4.3,0.893
scenario_0_baseline,overall,600,600,0,100.0,2.629,2.786,3.715,3.909,4.322,0.896
scenario_1_peer_crash,baseline,150,150,0,100.0,2.828,2.828,4.006,4.167,5.646,0.965
scenario_1_peer_crash,failure,300,300,150,100.0,1024.823,2.805,2056.544,2060.532,2065.937,1024.572
scenario_1_peer_crash,recovery,150,150,0,100.0,3.054,2.785,3.883,4.262,26.568,2.968
scenario_1_peer_crash,overall,600,600,150,100.0,513.882,2.828,2049.655,2056.544,2063.949,886.282
scenario_2_peer_unavailable,baseline,150,100,0,66.67,8.205,3.598,23.405,28.339,33.831,9.346
scenario_2_peer_unavailable,failure,300,200,100,66.67,689.19,22.528,2049.41,2056.966,2061.412,961.453
scenario_2_peer_unavailable,recovery,150,100,0,66.67,8.115,3.474,23.448,27.581,31.828,9.194
scenario_2_peer_unavailable,overall,600,400,100,66.67,348.675,4.605,2042.597,2049.41,2061.166,760.007
scenario_3_network_partition,baseline,150,0,0,0.0,20.283,23.808,29.55,33.268,35.522,9.3
scenario_3_network_partition,failure,300,0,0,0.0,20.659,23.923,29.004,30.762,35.547,8.657
scenario_3_network_partition,recovery,150,0,0,0.0,21.048,24.331,31.33,34.285,39.056,9.551
scenario_3_network_partition,overall,600,0,0,0.0,20.662,23.957,29.737,33.268,36.311,9.038
scenario_4_loss_1pct,baseline,150,0,0,0.0,21.079,23.656,29.237,33.185,39.29,8.3
scenario_4_loss_1pct,failure,300,0,0,0.0,21.535,24.253,31.636,33.481,39.152,8.665
scenario_4_loss_1pct,recovery,150,0,0,0.0,21.001,22.844,28.928,31.502,36.338,7.963
scenario_4_loss_1pct,overall,600,0,0,0.0,21.287,23.993,30.581,32.922,38.081,8.394
scenario_4_loss_5pct,baseline,150,0,0,0.0,23.147,25.091,32.463,36.223,40.254,8.404
scenario_4_loss_5pct,failure,300,0,0,0.0,24.263,26.241,32.179,36.544,41.213,8.098
scenario_4_loss_5pct,recovery,150,0,0,0.0,22.32,24.454,31.421,32.329,36.166,7.946
scenario_4_loss_5pct,overall,600,0,0,0.0,23.498,25.689,32.119,35.473,41.075,8.166
scenario_4_loss_10pct,baseline,150,0,0,0.0,24.887,22.055,35.167,38.406,45.613,8.606
scenario_4_loss_10pct,failure,300,0,0,0.0,24.986,24.202,34.6,35.804,40.56,8.129
scenario_4_loss_10pct,recovery,150,0,0,0.0,24.463,22.448,34.99,36.442,41.471,8.471
scenario_4_loss_10pct,overall,600,0,0,0.0,24.831,23.431,34.748,36.464,43.027,8.325
scenario_5_partition_recovery,baseline,150,0,0,0.0,23.826,20.74,36.917,39.256,42.985,8.547
scenario_5_partition_recovery,failure,300,0,0,0.0,23.954,20.719,36.997,39.576,45.687,8.691
scenario_5_partition_recovery,recovery,150,0,0,0.0,23.553,20.216,36.019,39.268,44.832,8.51
scenario_5_partition_recovery,overall,600,0,0,0.0,23.822,20.66,36.588,39.475,44.965,8.597
scenario_6_node_recovery,baseline,150,100,0,66.67,10.276,3.483,27.92,37.925,46.186,12.031
scenario_6_node_recovery,failure,300,200,100,66.67,691.096,20.907,2051.241,2056.755,2063.066,960.409
scenario_6_node_recovery,recovery,150,100,0,66.67,10.268,3.927,25.973,34.749,38.959,10.889
scenario_6_node_recovery,overall,600,400,100,66.67,350.684,7.079,2043.394,2051.241,2060.76,759.317
