scenario,trial_id,N,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,fallback_activations,availability_pct
scenario_0_baseline,trial1,200,2.715,3.675,4.451,2.499,0,100.0
scenario_0_baseline,trial2,200,2.971,3.958,4.488,2.703,0,100.0
scenario_0_baseline,trial3,200,2.871,3.866,4.145,2.683,0,100.0
scenario_1_peer_crash,trial1,200,2.792,2056.544,2063.104,513.745,50,100.0
scenario_1_peer_crash,trial2,200,2.828,2054.353,2063.559,513.783,50,100.0
scenario_1_peer_crash,trial3,200,2.805,2058.201,2064.097,514.117,50,100.0
scenario_2_peer_unavailable,trial1,200,2.978,2053.14,2061.166,513.497,50,100.0
scenario_2_peer_unavailable,trial2,200,2.988,2055.622,2061.412,513.789,50,100.0
scenario_2_peer_unavailable,trial3,200,22.454,29.961,33.831,18.739,0,100.0
scenario_3_network_partition,trial1,200,23.28,30.653,36.258,20.606,0,100.0
scenario_3_network_partition,trial2,200,23.994,33.176,35.547,20.062,0,100.0
scenario_3_network_partition,trial3,200,25.059,33.93,36.838,21.319,0,100.0
scenario_4_loss_1pct,trial1,200,25.639,32.922,36.25,21.75,0,100.0
scenario_4_loss_1pct,trial2,200,22.58,33.481,38.081,20.936,0,100.0
scenario_4_loss_1pct,trial3,200,22.508,32.072,39.29,21.176,0,100.0
scenario_4_loss_5pct,trial1,200,24.782,34.219,38.025,22.608,0,100.0
scenario_4_loss_5pct,trial2,200,25.392,34.973,41.779,23.29,0,100.0
scenario_4_loss_5pct,trial3,200,26.478,36.223,41.213,24.597,0,100.0
scenario_4_loss_10pct,trial1,200,27.934,36.464,43.027,25.016,0,100.0
scenario_4_loss_10pct,trial2,200,23.425,35.624,42.889,24.467,0,100.0
scenario_4_loss_10pct,trial3,200,22.116,37.382,41.471,25.009,0,100.0
scenario_5_partition_recovery,trial1,200,21.308,39.268,44.301,24.506,0,100.0
scenario_5_partition_recovery,trial2,200,20.139,39.386,44.2,23.601,0,100.0
scenario_5_partition_recovery,trial3,200,20.557,39.576,45.687,23.358,0,100.0
scenario_6_node_recovery,trial1,200,20.907,39.703,46.186,24.078,0,100.0
scenario_6_node_recovery,trial2,200,2.608,2055.26,2060.751,513.663,50,100.0
scenario_6_node_recovery,trial3,200,3.381,2054.311,2067.928,514.312,50,100.0
