request_id,timestamp,mode,source_region,dest_region,cross_region,traffic,distance_km,eta,pickup_time,prep_time,delivery_time,request_latency_ms,computation_latency_ms,network_latency_ms,success,error,gossip_enabled,gossip_interval,node_count
req-00001-86d1b3,1787490725.3453443,edgesync,CENTRAL,EAST,True,Medium,21.2715,66.19,13.76,15.14,51.05,4074.11,0.085,2017.009,True,,True,5.0,3
req-00002-f93aad,1787490729.4333508,edgesync,EAST,CENTRAL,True,Medium,7.8594,26.82,2.31,7.96,18.86,4087.965,0.078,2036.165,True,,True,5.0,3
req-00003-669545,1787490733.4845688,edgesync,CENTRAL,EAST,True,Medium,27.6423,76.57,2.44,10.23,66.34,4051.179,0.08,2012.67,True,,True,5.0,3
req-00004-19012e,1787490737.5766726,edgesync,EAST,WEST,True,Low,11.6776,33.51,13.49,7.39,20.02,4092.068,0.096,2015.224,True,,True,5.0,3
req-00005-9129f1,1787490741.6601408,edgesync,WEST,CENTRAL,True,Low,12.2588,35.11,14.09,10.18,21.02,4083.433,0.201,2013.033,True,,True,5.0,3
req-00006-56d4ba,1787490743.7099123,edgesync,EAST,EAST,False,Medium,4.4766,18.37,7.62,7.4,10.74,2049.736,0.066,0.0,True,,True,5.0,3
req-00007-b1c480,1787490747.7841127,edgesync,CENTRAL,WEST,True,High,7.8346,45.92,13.54,14.58,31.34,4074.149,0.11,2014.075,True,,True,5.0,3
req-00008-a4fbbb,1787490751.8776689,edgesync,EAST,WEST,True,Medium,4.97,24.59,12.66,10.95,11.93,4093.492,0.097,2009.803,True,,True,5.0,3
req-00009-b142d2,1787490755.9385831,edgesync,EAST,WEST,True,High,8.3358,39.84,2.72,6.5,33.34,4060.878,0.103,2018.372,True,,True,5.0,3
req-00010-f80104,1787490757.9960542,edgesync,WEST,WEST,False,High,7.9274,45.72,14.01,6.39,31.71,2057.431,0.139,0.0,True,,True,5.0,3
req-00011-80302b,1787490762.0399692,edgesync,WEST,EAST,True,Low,6.8004,20.31,2.52,8.65,11.66,4043.866,0.062,2009.459,True,,True,5.0,3
req-00012-49f219,1787490766.1017694,edgesync,EAST,CENTRAL,True,Medium,14.8581,47.81,12.15,7.27,35.66,4061.755,0.085,2017.571,True,,True,5.0,3
req-00013-54654b,1787490770.1579528,edgesync,CENTRAL,EAST,True,Medium,27.7,78.37,11.89,7.08,66.48,4056.141,0.079,2010.099,True,,True,5.0,3
req-00014-5886f5,1787490772.2289274,edgesync,EAST,EAST,False,Low,17.551,42.02,11.93,5.9,30.09,2070.942,0.056,0.0,True,,True,5.0,3
req-00015-afd802,1787490776.2857504,edgesync,CENTRAL,WEST,True,Medium,21.6589,62.39,2.62,10.41,51.98,4056.795,0.396,2011.425,True,,True,5.0,3
req-00016-9621aa,1787490780.338935,edgesync,EAST,CENTRAL,True,Low,16.5832,36.35,2.25,7.92,28.43,4053.153,0.051,2022.046,True,,True,5.0,3
req-00017-98a456,1787490782.40847,edgesync,WEST,WEST,False,High,14.7794,72.77,2.5,13.65,59.12,2069.496,0.065,0.0,True,,True,5.0,3
req-00018-4e0a3c,1787490786.4924405,edgesync,WEST,CENTRAL,True,Low,22.4558,50.2,11.7,8.17,38.5,4083.935,0.051,2011.755,True,,True,5.0,3
req-00019-21221e,1787490790.5651646,edgesync,WEST,EAST,True,Medium,15.9844,51.01,12.65,10.01,38.36,4072.697,0.139,2033.935,True,,True,5.0,3
req-00020-fecd4f,1787490792.6029904,edgesync,WEST,WEST,False,Low,2.5562,13.96,2.58,9.58,4.38,2037.79,0.073,0.0,True,,True,5.0,3
