trial_id,request_id,architecture,source_region,target_region,locality_configuration,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial1,req_0001,Centralized,EAST,CENTRAL,L30,False,True,4.471,0.504,0.0,0.504,1787630868.615,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0002,Centralized,WEST,WEST,L30,True,True,4.368,0.547,0.0,0.547,1787630868.62,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0003,Centralized,CENTRAL,WEST,L30,False,True,4.864,0.569,0.0,0.569,1787630868.625,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0004,Centralized,EAST,CENTRAL,L30,False,True,3.679,0.515,0.0,0.515,1787630868.628,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0005,Centralized,WEST,EAST,L30,False,True,4.511,0.471,0.0,0.471,1787630868.633,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0006,Centralized,CENTRAL,CENTRAL,L30,True,True,3.909,0.395,0.0,0.395,1787630868.637,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0007,Centralized,EAST,EAST,L30,True,True,3.792,0.454,0.0,0.454,1787630868.641,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0008,Centralized,WEST,WEST,L30,True,True,4.148,0.454,0.0,0.454,1787630868.645,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0009,Centralized,CENTRAL,CENTRAL,L30,True,True,4.391,0.507,0.0,0.507,1787630868.649,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0010,Centralized,EAST,CENTRAL,L30,False,True,4.043,0.441,0.0,0.441,1787630868.653,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0011,Centralized,WEST,EAST,L30,False,True,4.333,0.478,0.0,0.478,1787630868.658,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0012,Centralized,CENTRAL,EAST,L30,False,True,3.843,0.47,0.0,0.47,1787630868.662,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0013,Centralized,EAST,EAST,L30,True,True,5.341,0.579,0.0,0.579,1787630868.667,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0014,Centralized,WEST,EAST,L30,False,True,4.429,0.685,0.0,0.685,1787630868.671,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0015,Centralized,CENTRAL,EAST,L30,False,True,4.335,0.598,0.0,0.598,1787630868.676,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0016,Centralized,EAST,WEST,L30,False,True,3.643,0.362,0.0,0.362,1787630868.679,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0017,Centralized,WEST,CENTRAL,L30,False,True,3.845,0.323,0.0,0.323,1787630868.683,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0018,Centralized,CENTRAL,WEST,L30,False,True,3.223,0.355,0.0,0.355,1787630868.687,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0019,Centralized,EAST,CENTRAL,L30,False,True,3.935,0.655,0.0,0.655,1787630868.691,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0020,Centralized,WEST,EAST,L30,False,True,4.939,0.556,0.0,0.556,1787630868.696,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0021,Centralized,CENTRAL,EAST,L30,False,True,5.03,0.565,0.0,0.565,1787630868.701,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0022,Centralized,EAST,WEST,L30,False,True,4.264,0.501,0.0,0.501,1787630868.705,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0023,Centralized,WEST,WEST,L30,True,True,4.06,0.519,0.0,0.519,1787630868.709,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0024,Centralized,CENTRAL,EAST,L30,False,True,4.639,0.496,0.0,0.496,1787630868.714,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0025,Centralized,EAST,WEST,L30,False,True,4.681,0.492,0.0,0.492,1787630868.718,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0026,Centralized,WEST,CENTRAL,L30,False,True,3.737,0.414,0.0,0.414,1787630868.722,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0027,Centralized,CENTRAL,WEST,L30,False,True,3.946,0.276,0.0,0.276,1787630868.726,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0028,Centralized,EAST,EAST,L30,True,True,3.415,0.574,0.0,0.574,1787630868.73,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0029,Centralized,WEST,CENTRAL,L30,False,True,4.356,0.409,0.0,0.409,1787630868.734,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0030,Centralized,CENTRAL,WEST,L30,False,True,4.183,0.514,0.0,0.514,1787630868.738,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0031,Centralized,EAST,CENTRAL,L30,False,True,3.984,0.592,0.0,0.592,1787630868.742,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0032,Centralized,WEST,WEST,L30,True,True,4.296,0.308,0.0,0.308,1787630868.747,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0033,Centralized,CENTRAL,CENTRAL,L30,True,True,3.524,0.407,0.0,0.407,1787630868.75,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0034,Centralized,EAST,EAST,L30,True,True,3.099,0.451,0.0,0.451,1787630868.753,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0035,Centralized,WEST,EAST,L30,False,True,4.644,0.44,0.0,0.44,1787630868.758,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0036,Centralized,CENTRAL,EAST,L30,False,True,3.768,0.451,0.0,0.451,1787630868.762,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0037,Centralized,EAST,WEST,L30,False,True,6.34,0.516,0.0,0.516,1787630868.768,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0038,Centralized,WEST,CENTRAL,L30,False,True,4.144,0.474,0.0,0.474,1787630868.772,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0039,Centralized,CENTRAL,WEST,L30,False,True,3.724,0.28,0.0,0.28,1787630868.776,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0040,Centralized,EAST,CENTRAL,L30,False,True,4.086,0.485,0.0,0.485,1787630868.78,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0041,Centralized,WEST,EAST,L30,False,True,3.731,0.488,0.0,0.488,1787630868.784,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0042,Centralized,CENTRAL,EAST,L30,False,True,3.922,0.424,0.0,0.424,1787630868.788,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0043,Centralized,EAST,EAST,L30,True,True,3.734,0.893,0.0,0.893,1787630868.791,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0044,Centralized,WEST,WEST,L30,True,True,3.161,0.733,0.0,0.733,1787630868.795,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0045,Centralized,CENTRAL,WEST,L30,False,True,3.624,0.297,0.0,0.297,1787630868.798,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0046,Centralized,EAST,CENTRAL,L30,False,True,4.858,0.574,0.0,0.574,1787630868.803,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0047,Centralized,WEST,EAST,L30,False,True,4.748,0.522,0.0,0.522,1787630868.808,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0048,Centralized,CENTRAL,EAST,L30,False,True,3.958,0.497,0.0,0.497,1787630868.812,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0049,Centralized,EAST,WEST,L30,False,True,3.729,0.852,0.0,0.852,1787630868.816,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0050,Centralized,WEST,WEST,L30,True,True,4.328,0.478,0.0,0.478,1787630868.82,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0051,Centralized,CENTRAL,EAST,L30,False,True,4.483,0.48,0.0,0.48,1787630868.825,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0052,Centralized,EAST,WEST,L30,False,True,3.451,0.416,0.0,0.416,1787630868.828,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0053,Centralized,WEST,WEST,L30,True,True,4.883,0.569,0.0,0.569,1787630868.833,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0054,Centralized,CENTRAL,EAST,L30,False,True,4.693,0.512,0.0,0.512,1787630868.838,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0055,Centralized,EAST,EAST,L30,True,True,4.069,0.463,0.0,0.463,1787630868.842,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0056,Centralized,WEST,WEST,L30,True,True,6.147,0.368,0.0,0.368,1787630868.848,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0057,Centralized,CENTRAL,WEST,L30,False,True,4.532,0.451,0.0,0.451,1787630868.853,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0058,Centralized,EAST,CENTRAL,L30,False,True,5.903,0.446,0.0,0.446,1787630868.858,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0059,Centralized,WEST,EAST,L30,False,True,3.617,0.43,0.0,0.43,1787630868.862,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0060,Centralized,CENTRAL,EAST,L30,False,True,4.345,0.541,0.0,0.541,1787630868.866,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0061,Centralized,EAST,EAST,L30,True,True,4.173,0.499,0.0,0.499,1787630868.871,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0062,Centralized,WEST,WEST,L30,True,True,3.913,0.366,0.0,0.366,1787630868.875,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0063,Centralized,CENTRAL,WEST,L30,False,True,3.448,0.412,0.0,0.412,1787630868.878,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0064,Centralized,EAST,CENTRAL,L30,False,True,3.118,0.461,0.0,0.461,1787630868.881,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0065,Centralized,WEST,EAST,L30,False,True,4.239,0.432,0.0,0.432,1787630868.885,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0066,Centralized,CENTRAL,EAST,L30,False,True,3.697,0.332,0.0,0.332,1787630868.889,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0067,Centralized,EAST,WEST,L30,False,True,4.4,1.508,0.0,1.508,1787630868.894,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0068,Centralized,WEST,CENTRAL,L30,False,True,5.452,0.575,0.0,0.575,1787630868.899,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0069,Centralized,CENTRAL,WEST,L30,False,True,6.603,2.004,0.0,2.004,1787630868.906,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0070,Centralized,EAST,CENTRAL,L30,False,True,3.955,0.481,0.0,0.481,1787630868.91,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0071,Centralized,WEST,EAST,L30,False,True,4.515,0.634,0.0,0.634,1787630868.914,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0072,Centralized,CENTRAL,CENTRAL,L30,True,True,3.323,0.283,0.0,0.283,1787630868.918,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0073,Centralized,EAST,CENTRAL,L30,False,True,4.443,0.568,0.0,0.568,1787630868.922,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0074,Centralized,WEST,EAST,L30,False,True,4.398,0.393,0.0,0.393,1787630868.927,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0075,Centralized,CENTRAL,CENTRAL,L30,True,True,4.12,0.463,0.0,0.463,1787630868.931,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0076,Centralized,EAST,CENTRAL,L30,False,True,4.649,0.536,0.0,0.536,1787630868.935,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0077,Centralized,WEST,WEST,L30,True,True,4.603,0.471,0.0,0.471,1787630868.94,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0078,Centralized,CENTRAL,WEST,L30,False,True,4.133,0.456,0.0,0.456,1787630868.944,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0079,Centralized,EAST,EAST,L30,True,True,4.833,0.468,0.0,0.468,1787630868.949,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0080,Centralized,WEST,CENTRAL,L30,False,True,4.469,0.504,0.0,0.504,1787630868.954,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0081,Centralized,CENTRAL,CENTRAL,L30,True,True,4.666,0.516,0.0,0.516,1787630868.958,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0082,Centralized,EAST,EAST,L30,True,True,4.234,0.433,0.0,0.433,1787630868.963,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0083,Centralized,WEST,EAST,L30,False,True,4.018,0.43,0.0,0.43,1787630868.967,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0084,Centralized,CENTRAL,CENTRAL,L30,True,True,4.232,0.53,0.0,0.53,1787630868.971,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0085,Centralized,EAST,CENTRAL,L30,False,True,4.542,0.491,0.0,0.491,1787630868.975,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0086,Centralized,WEST,WEST,L30,True,True,6.637,2.027,0.0,2.027,1787630868.982,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0087,Centralized,CENTRAL,WEST,L30,False,True,4.154,0.368,0.0,0.368,1787630868.986,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
trial1,req_0088,Centralized,EAST,EAST,L30,True,True,4.133,0.475,0.0,0.475,1787630868.991,3dbeeb8c74d661401d4cb5bd8b56a24f9eac77def4b98e6960a917d5a61d249d
