locality,request_type,N,total_mean,total_median,total_p50,total_p95,total_p99,total_stddev,system_mean,network_mean
L90,Local,270,4.72,4.686,4.686,5.61,7.444,0.908,0.289,0.0
L90,Remote,30,9.616,9.424,9.424,10.974,10.984,0.862,0.264,4.762
L70,Local,210,4.878,4.913,4.913,5.888,6.478,0.694,0.572,0.0
L70,Remote,90,9.711,9.647,9.647,11.507,13.12,1.082,0.558,4.678
L50,Local,150,5.335,5.218,5.218,6.555,9.06,1.062,0.75,0.0
L50,Remote,150,9.95,9.958,9.958,11.678,12.102,1.109,0.668,4.678
L30,Local,90,5.425,5.281,5.281,7.136,10.773,1.106,0.756,0.0
L30,Remote,210,10.431,10.318,10.318,12.609,14.155,1.407,0.719,4.955
L10,Local,30,5.495,5.433,5.433,6.972,7.054,0.746,0.803,0.0
L10,Remote,270,10.39,10.375,10.375,12.33,14.304,1.293,0.741,4.89
