architecture,locality,N,mean,median,p50,p90,p95,p99,stddev,system_mean,system_p50,network_mean,network_p50,domain_mean
Centralized,L90,300,4.142,4.19,4.19,4.85,5.161,6.044,0.801,0.279,0.245,0.0,0.0,0.279
EdgeSync,L90,300,5.209,4.74,4.74,7.877,9.573,10.758,1.726,0.286,0.237,0.476,0.0,0.286
Centralized,L70,300,4.109,4.203,4.203,4.821,5.042,5.647,0.722,0.457,0.453,0.0,0.0,0.457
EdgeSync,L70,300,6.328,5.203,5.203,10.029,10.718,11.911,2.368,0.568,0.568,1.404,0.0,0.568
Centralized,L50,300,4.252,4.273,4.273,4.957,5.271,6.678,0.944,0.466,0.471,0.0,0.0,0.466
EdgeSync,L50,300,7.643,7.924,7.924,10.92,11.555,11.92,2.553,0.709,0.654,2.339,0.0,0.709
Centralized,L30,300,4.277,4.296,4.296,4.945,5.315,6.603,0.935,0.497,0.479,0.0,0.0,0.497
EdgeSync,L30,300,8.929,9.72,9.72,11.614,12.41,14.123,2.651,0.73,0.683,3.468,4.442,0.73
Centralized,L10,300,4.163,4.229,4.229,4.908,5.062,5.612,0.657,0.465,0.471,0.0,0.0,0.465
EdgeSync,L10,300,9.901,10.147,10.147,11.733,12.276,14.296,1.929,0.748,0.705,4.401,4.768,0.748
