trial_id,locality,architecture,N,mean,median,p50,p90,p95,p99,stddev,system_mean,network_mean
trial1,L90,Centralized,100,4.108,4.129,4.129,4.738,4.92,5.334,0.594,0.139,0.0
trial1,L90,EdgeSync,100,5.096,4.506,4.506,7.877,10.011,10.984,2.038,0.185,0.48
trial2,L90,Centralized,100,3.957,3.951,3.951,4.784,5.11,5.37,0.744,0.25,0.0
trial2,L90,EdgeSync,100,5.239,4.742,4.742,7.21,9.053,10.743,1.572,0.299,0.472
trial3,L90,Centralized,100,4.362,4.445,4.445,5.045,5.288,8.218,0.973,0.45,0.0
trial3,L90,EdgeSync,100,5.292,4.921,4.921,7.668,9.231,10.417,1.532,0.375,0.478
trial1,L70,Centralized,100,4.169,4.243,4.243,4.718,4.858,5.647,0.602,0.452,0.0
trial1,L70,EdgeSync,100,6.11,5.092,5.092,9.506,10.189,10.624,2.232,0.426,1.365
trial2,L70,Centralized,100,4.097,4.085,4.085,4.862,5.321,6.357,0.872,0.463,0.0
trial2,L70,EdgeSync,100,6.406,5.305,5.305,9.984,10.903,11.978,2.409,0.603,1.385
trial3,L70,Centralized,100,4.062,4.204,4.204,4.773,5.025,5.407,0.668,0.458,0.0
trial3,L70,EdgeSync,100,6.468,5.309,5.309,10.335,10.984,11.507,2.465,0.675,1.461
trial1,L50,Centralized,100,4.219,4.165,4.165,4.793,4.891,5.876,1.211,0.482,0.0
trial1,L50,EdgeSync,100,7.709,8.042,8.042,11.339,11.614,11.92,2.599,0.751,2.356
trial2,L50,Centralized,100,4.38,4.318,4.318,4.987,5.331,7.045,0.73,0.489,0.0
trial2,L50,EdgeSync,100,7.406,7.19,7.19,10.627,10.99,11.678,2.596,0.638,2.319
trial3,L50,Centralized,100,4.158,4.336,4.336,4.942,5.355,6.074,0.814,0.425,0.0
trial3,L50,EdgeSync,100,7.813,8.147,8.147,10.92,11.535,11.88,2.47,0.738,2.341
trial1,L30,Centralized,100,4.308,4.234,4.234,4.939,5.452,6.603,0.682,0.522,0.0
trial1,L30,EdgeSync,100,8.896,9.705,9.705,11.796,12.412,13.95,2.814,0.716,3.512
trial2,L30,Centralized,100,4.229,4.358,4.358,4.901,4.994,5.461,0.596,0.488,0.0
trial2,L30,EdgeSync,100,8.817,9.644,9.644,11.14,11.295,14.155,2.523,0.712,3.379
trial3,L30,Centralized,100,4.293,4.233,4.233,5.044,5.299,7.67,1.347,0.48,0.0
trial3,L30,EdgeSync,100,9.073,10.017,10.017,11.824,12.455,13.664,2.627,0.763,3.514
trial1,L10,Centralized,100,4.1,4.153,4.153,4.831,4.939,5.062,0.581,0.473,0.0
trial1,L10,EdgeSync,100,9.864,10.085,10.085,11.717,13.255,14.682,2.134,0.72,4.478
trial2,L10,Centralized,100,4.152,4.167,4.167,4.932,5.128,6.226,0.699,0.444,0.0
trial2,L10,EdgeSync,100,9.743,9.986,9.986,11.637,12.136,12.94,1.862,0.705,4.297
trial3,L10,Centralized,100,4.238,4.297,4.297,4.904,5.089,5.612,0.684,0.48,0.0
trial3,L10,EdgeSync,100,10.096,10.387,10.387,11.838,12.252,13.01,1.775,0.818,4.427
