trial_id,request_id,architecture,source_region,target_region,locality_configuration,configured_network_delay_ms,is_local,success,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,timestamp,workload_hash
trial1,req_0001,Centralized,EAST,EAST,L90,20,True,True,1.22,0.095,0.0,0.095,1787634333.739,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0002,Centralized,WEST,WEST,L90,20,True,True,1.248,0.095,0.0,0.095,1787634333.74,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0003,Centralized,CENTRAL,CENTRAL,L90,20,True,True,1.188,0.093,0.0,0.093,1787634333.741,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0004,Centralized,EAST,EAST,L90,20,True,True,1.161,0.089,0.0,0.089,1787634333.742,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0005,Centralized,WEST,WEST,L90,20,True,True,1.171,0.088,0.0,0.088,1787634333.743,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0006,Centralized,CENTRAL,EAST,L90,20,False,True,1.183,0.093,0.0,0.093,1787634333.745,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0007,Centralized,EAST,EAST,L90,20,True,True,1.231,0.099,0.0,0.099,1787634333.746,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0008,Centralized,WEST,WEST,L90,20,True,True,1.248,0.098,0.0,0.098,1787634333.747,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0009,Centralized,CENTRAL,CENTRAL,L90,20,True,True,1.409,0.103,0.0,0.103,1787634333.749,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0010,Centralized,EAST,EAST,L90,20,True,True,1.691,0.131,0.0,0.131,1787634333.75,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0011,Centralized,WEST,WEST,L90,20,True,True,1.244,0.095,0.0,0.095,1787634333.751,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0012,Centralized,CENTRAL,CENTRAL,L90,20,True,True,1.354,0.111,0.0,0.111,1787634333.753,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0013,Centralized,EAST,EAST,L90,20,True,True,1.223,0.093,0.0,0.093,1787634333.754,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0014,Centralized,WEST,WEST,L90,20,True,True,1.221,0.086,0.0,0.086,1787634333.755,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0015,Centralized,CENTRAL,CENTRAL,L90,20,True,True,1.198,0.1,0.0,0.1,1787634333.757,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0016,Centralized,EAST,EAST,L90,20,True,True,1.157,0.088,0.0,0.088,1787634333.758,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0017,Centralized,WEST,WEST,L90,20,True,True,1.186,0.096,0.0,0.096,1787634333.759,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
trial1,req_0018,Centralized,CENTRAL,WEST,L90,20,False,True,1.205,0.085,0.0,0.085,1787634333.76,fecec83653ccdf9ad86aaa2fe6e4e5a5ced489d237281ab328bc4f41dd7c9aef
