architecture,locality,configured_network_delay_ms,N,mean,median,p50,p90,p95,p99,stddev,system_mean,system_p50,network_mean,network_p50,domain_mean
Centralized,L90,0,300,1.427,1.341,1.341,1.826,1.994,2.47,0.28,0.077,0.067,0.0,0.0,0.077
EdgeSync,L90,0,300,1.768,1.551,1.551,2.829,3.068,3.405,0.667,0.085,0.072,0.168,0.0,0.085
Centralized,L90,5,300,1.37,1.302,1.302,1.588,1.792,2.446,0.238,0.11,0.102,0.0,0.0,0.11
EdgeSync,L90,5,300,2.312,1.575,1.575,2.797,8.875,9.157,2.205,0.114,0.099,0.716,0.0,0.114
Centralized,L90,10,300,1.396,1.292,1.292,1.743,2.092,2.642,0.308,0.118,0.104,0.0,0.0,0.118
EdgeSync,L90,10,300,3.023,1.728,1.728,3.152,14.136,15.177,3.776,0.167,0.155,1.232,0.0,0.167
Centralized,L90,20,300,1.335,1.292,1.292,1.529,1.753,1.916,0.179,0.106,0.099,0.0,0.0,0.106
EdgeSync,L90,20,300,3.949,1.68,1.68,2.586,24.184,24.791,6.812,0.165,0.161,2.243,0.0,0.165
Centralized,L90,50,300,1.409,1.297,1.297,1.669,1.942,3.152,0.372,0.117,0.104,0.0,0.0,0.117
EdgeSync,L90,50,300,7.032,1.714,1.714,3.439,54.488,55.037,15.859,0.175,0.168,5.248,0.0,0.175
Centralized,L50,0,300,1.328,1.292,1.292,1.502,1.613,1.785,0.143,0.113,0.11,0.0,0.0,0.113
EdgeSync,L50,0,300,2.578,2.89,2.89,3.571,3.847,5.943,0.991,0.178,0.169,0.825,0.0,0.178
Centralized,L50,5,300,1.437,1.362,1.362,1.737,1.911,2.36,0.247,0.128,0.119,0.0,0.0,0.128
EdgeSync,L50,5,300,5.571,2.716,2.716,9.568,9.739,10.139,3.728,0.185,0.175,3.641,0.0,0.185
Centralized,L50,10,300,1.497,1.371,1.371,1.862,2.15,2.931,0.381,0.129,0.114,0.0,0.0,0.129
EdgeSync,L50,10,300,8.087,2.587,2.587,14.559,14.814,15.134,6.252,0.189,0.175,6.16,0.0,0.189
Centralized,L50,20,300,1.376,1.327,1.327,1.598,1.723,2.205,0.197,0.117,0.106,0.0,0.0,0.117
EdgeSync,L50,20,300,13.131,3.303,3.303,24.66,24.806,25.308,11.318,0.185,0.177,11.199,0.0,0.185
Centralized,L50,50,300,1.453,1.371,1.371,1.809,2.019,2.603,0.289,0.129,0.112,0.0,0.0,0.129
EdgeSync,L50,50,300,28.268,3.09,3.09,54.993,55.199,55.495,26.388,0.197,0.186,26.238,0.0,0.197
Centralized,L10,0,300,1.381,1.344,1.344,1.615,1.72,2.005,0.177,0.122,0.11,0.0,0.0,0.122
EdgeSync,L10,0,300,3.361,3.432,3.432,3.881,4.05,4.64,0.588,0.189,0.18,1.491,1.601,0.189
Centralized,L10,5,300,1.432,1.38,1.38,1.716,1.852,2.037,0.207,0.123,0.114,0.0,0.0,0.123
EdgeSync,L10,5,300,8.622,9.194,9.194,9.833,10.124,11.638,2.272,0.195,0.18,6.546,7.202,0.195
Centralized,L10,10,300,1.762,1.512,1.512,2.425,3.965,4.45,0.739,0.159,0.125,0.0,0.0,0.159
EdgeSync,L10,10,300,13.217,14.366,14.366,14.941,15.161,15.881,3.775,0.194,0.177,11.125,12.303,0.194
Centralized,L10,20,300,1.442,1.385,1.385,1.76,1.88,2.146,0.209,0.123,0.111,0.0,0.0,0.123
EdgeSync,L10,20,300,22.23,24.385,24.385,24.978,25.246,25.604,6.774,0.195,0.182,20.147,22.311,0.195
Centralized,L10,50,300,1.526,1.412,1.412,1.925,2.342,3.01,0.373,0.135,0.112,0.0,0.0,0.135
EdgeSync,L10,50,300,49.431,54.564,54.564,55.312,55.457,55.656,15.821,0.208,0.193,47.209,52.392,0.208
