trial_id,locality,configured_network_delay_ms,architecture,N,mean,median,p50,p90,p95,p99,stddev,system_mean,network_mean
trial1,L90,0,Centralized,100,1.664,1.581,1.581,2.13,2.36,2.501,0.339,0.062,0.0
trial1,L90,0,EdgeSync,100,1.925,1.587,1.587,2.934,3.086,6.163,0.897,0.069,0.196
trial2,L90,0,Centralized,100,1.284,1.244,1.244,1.484,1.554,1.704,0.137,0.061,0.0
trial2,L90,0,EdgeSync,100,1.735,1.577,1.577,2.73,3.042,3.304,0.503,0.092,0.158
trial3,L90,0,Centralized,100,1.334,1.305,1.305,1.441,1.539,1.826,0.134,0.107,0.0
trial3,L90,0,EdgeSync,100,1.646,1.482,1.482,2.048,2.996,3.18,0.497,0.094,0.15
trial1,L90,5,Centralized,100,1.355,1.306,1.306,1.534,1.651,2.168,0.215,0.105,0.0
trial1,L90,5,EdgeSync,100,2.279,1.561,1.561,2.116,8.792,8.956,2.186,0.105,0.706
trial2,L90,5,Centralized,100,1.458,1.376,1.376,1.804,1.895,2.64,0.309,0.119,0.0
trial2,L90,5,EdgeSync,100,2.32,1.578,1.578,2.797,8.875,9.175,2.224,0.112,0.721
trial3,L90,5,Centralized,100,1.296,1.257,1.257,1.469,1.528,1.635,0.123,0.106,0.0
trial3,L90,5,EdgeSync,100,2.338,1.589,1.589,2.511,8.988,9.128,2.225,0.125,0.72
trial1,L90,10,Centralized,100,1.499,1.302,1.302,2.123,2.527,2.734,0.446,0.128,0.0
trial1,L90,10,EdgeSync,100,2.924,1.651,1.651,2.228,14.088,15.177,3.821,0.158,1.234
trial2,L90,10,Centralized,100,1.302,1.26,1.26,1.458,1.524,1.976,0.156,0.108,0.0
trial2,L90,10,EdgeSync,100,2.994,1.742,1.742,3.061,14.111,14.3,3.731,0.163,1.224
trial3,L90,10,Centralized,100,1.388,1.309,1.309,1.652,1.747,2.123,0.211,0.117,0.0
trial3,L90,10,EdgeSync,100,3.152,1.854,1.854,3.152,14.165,15.277,3.809,0.181,1.239
trial1,L90,20,Centralized,100,1.287,1.248,1.248,1.424,1.54,1.757,0.148,0.105,0.0
trial1,L90,20,EdgeSync,100,3.964,1.71,1.71,2.586,24.204,24.791,6.843,0.161,2.242
trial2,L90,20,Centralized,100,1.337,1.304,1.304,1.458,1.53,1.916,0.179,0.105,0.0
trial2,L90,20,EdgeSync,100,3.959,1.693,1.693,2.314,24.184,24.443,6.824,0.169,2.242
trial3,L90,20,Centralized,100,1.38,1.302,1.302,1.696,1.834,1.903,0.195,0.109,0.0
trial3,L90,20,EdgeSync,100,3.923,1.651,1.651,2.078,24.113,24.773,6.837,0.163,2.245
trial1,L90,50,Centralized,100,1.329,1.298,1.298,1.476,1.542,1.852,0.138,0.104,0.0
trial1,L90,50,EdgeSync,100,6.991,1.663,1.663,2.418,54.529,55.142,15.97,0.168,5.26
trial2,L90,50,Centralized,100,1.577,1.32,1.32,2.573,2.965,3.437,0.581,0.137,0.0
trial2,L90,50,EdgeSync,100,7.108,1.768,1.768,3.439,54.41,54.808,15.863,0.185,5.241
trial3,L90,50,Centralized,100,1.322,1.286,1.286,1.477,1.659,1.739,0.136,0.109,0.0
trial3,L90,50,EdgeSync,100,6.997,1.692,1.692,2.733,54.488,54.868,15.903,0.174,5.245
trial1,L50,0,Centralized,100,1.341,1.293,1.293,1.525,1.69,1.775,0.151,0.116,0.0
trial1,L50,0,EdgeSync,100,2.52,2.313,2.313,3.57,3.72,4.154,0.892,0.176,0.797
trial2,L50,0,Centralized,100,1.309,1.273,1.273,1.472,1.553,1.735,0.118,0.11,0.0
trial2,L50,0,EdgeSync,100,2.508,2.048,2.048,3.433,3.739,4.663,0.869,0.173,0.802
trial3,L50,0,Centralized,100,1.334,1.302,1.302,1.517,1.695,1.833,0.158,0.113,0.0
trial3,L50,0,EdgeSync,100,2.706,2.913,2.913,3.676,4.246,6.549,1.18,0.185,0.876
trial1,L50,5,Centralized,100,1.512,1.405,1.405,1.924,2.342,2.654,0.338,0.14,0.0
trial1,L50,5,EdgeSync,100,5.603,2.716,2.716,9.55,9.688,10.139,3.759,0.188,3.651
trial2,L50,5,Centralized,100,1.382,1.325,1.325,1.571,1.855,1.916,0.178,0.116,0.0
trial2,L50,5,EdgeSync,100,5.578,2.205,2.205,9.658,9.852,10.131,3.769,0.18,3.646
trial3,L50,5,Centralized,100,1.417,1.368,1.368,1.625,1.783,1.95,0.173,0.127,0.0
trial3,L50,5,EdgeSync,100,5.534,2.532,2.532,9.466,9.652,9.842,3.693,0.188,3.627
trial1,L50,10,Centralized,100,1.731,1.563,1.563,2.19,2.743,3.633,0.515,0.161,0.0
trial1,L50,10,EdgeSync,100,8.135,2.554,2.554,14.647,14.835,15.29,6.287,0.188,6.185
trial2,L50,10,Centralized,100,1.358,1.302,1.302,1.515,1.755,2.124,0.19,0.108,0.0
trial2,L50,10,EdgeSync,100,8.054,2.517,2.517,14.475,14.766,14.898,6.241,0.192,6.143
trial3,L50,10,Centralized,100,1.401,1.327,1.327,1.641,1.787,2.202,0.227,0.117,0.0
trial3,L50,10,EdgeSync,100,8.073,2.587,2.587,14.559,14.824,15.053,6.29,0.186,6.151
trial1,L50,20,Centralized,100,1.406,1.33,1.33,1.669,1.88,2.246,0.217,0.126,0.0
trial1,L50,20,EdgeSync,100,13.214,3.303,3.303,24.738,25.127,25.366,11.384,0.192,11.235
trial2,L50,20,Centralized,100,1.372,1.326,1.326,1.574,1.618,2.205,0.2,0.112,0.0
trial2,L50,20,EdgeSync,100,13.085,2.501,2.501,24.6,24.733,25.184,11.343,0.181,11.177
trial3,L50,20,Centralized,100,1.351,1.308,1.308,1.553,1.641,1.966,0.17,0.112,0.0
trial3,L50,20,EdgeSync,100,13.094,2.491,2.491,24.564,24.791,25.088,11.341,0.183,11.185
trial1,L50,50,Centralized,100,1.332,1.292,1.292,1.544,1.705,1.896,0.174,0.109,0.0
trial1,L50,50,EdgeSync,100,28.274,2.839,2.839,54.993,55.172,55.632,26.485,0.199,26.246
trial2,L50,50,Centralized,100,1.385,1.358,1.358,1.546,1.68,1.701,0.139,0.123,0.0
trial2,L50,50,EdgeSync,100,28.281,3.09,3.09,54.969,55.049,55.272,26.453,0.195,26.248
trial3,L50,50,Centralized,100,1.644,1.553,1.553,2.089,2.378,2.837,0.383,0.154,0.0
trial3,L50,50,EdgeSync,100,28.25,2.657,2.657,54.982,55.235,55.442,26.492,0.197,26.219
trial1,L10,0,Centralized,100,1.356,1.327,1.327,1.603,1.674,2.04,0.179,0.114,0.0
trial1,L10,0,EdgeSync,100,3.34,3.406,3.406,3.87,4.056,4.252,0.553,0.184,1.471
trial2,L10,0,Centralized,100,1.39,1.337,1.337,1.632,1.726,2.005,0.185,0.122,0.0
trial2,L10,0,EdgeSync,100,3.358,3.432,3.432,3.824,3.984,4.64,0.596,0.188,1.51
trial3,L10,0,Centralized,100,1.399,1.374,1.374,1.617,1.708,1.834,0.166,0.128,0.0
trial3,L10,0,EdgeSync,100,3.387,3.441,3.441,3.881,4.043,4.8,0.618,0.196,1.492
trial1,L10,5,Centralized,100,1.372,1.311,1.311,1.647,1.813,1.969,0.199,0.115,0.0
trial1,L10,5,EdgeSync,100,8.704,9.237,9.237,9.917,10.706,11.82,2.349,0.195,6.599
trial2,L10,5,Centralized,100,1.477,1.441,1.441,1.761,1.852,2.01,0.197,0.127,0.0
trial2,L10,5,EdgeSync,100,8.612,9.234,9.234,9.821,9.92,10.169,2.244,0.199,6.531
trial3,L10,5,Centralized,100,1.448,1.388,1.388,1.71,1.883,2.083,0.213,0.126,0.0
trial3,L10,5,EdgeSync,100,8.549,9.132,9.132,9.66,10.136,11.056,2.241,0.192,6.506
trial1,L10,10,Centralized,100,2.347,1.928,1.928,4.237,4.429,4.505,1.014,0.228,0.0
trial1,L10,10,EdgeSync,100,13.167,14.327,14.327,14.913,15.02,15.185,3.774,0.204,11.096
trial2,L10,10,Centralized,100,1.439,1.401,1.401,1.702,1.854,1.982,0.201,0.12,0.0
trial2,L10,10,EdgeSync,100,13.173,14.334,14.334,14.799,14.997,15.24,3.771,0.187,11.104
