request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,centralized,2,trial1,False,1787682051.443,2026-08-25 23:50:51,2026-08-25 23:50:51,7.647,0.08,0.0,0.08,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0002,centralized,2,trial1,False,1787682051.442,2026-08-25 23:50:51,2026-08-25 23:50:51,6.302,0.119,0.0,0.119,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0003,centralized,2,trial1,False,1787682051.447,2026-08-25 23:50:51,2026-08-25 23:50:51,4.247,0.099,0.0,0.099,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0004,centralized,2,trial1,False,1787682051.446,2026-08-25 23:50:51,2026-08-25 23:50:51,3.599,0.076,0.0,0.076,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0005,centralized,2,trial1,False,1787682051.45,2026-08-25 23:50:51,2026-08-25 23:50:51,3.081,0.083,0.0,0.083,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0006,centralized,2,trial1,False,1787682051.45,2026-08-25 23:50:51,2026-08-25 23:50:51,3.822,0.109,0.0,0.109,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0007,centralized,2,trial1,False,1787682051.454,2026-08-25 23:50:51,2026-08-25 23:50:51,4.086,0.105,0.0,0.105,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0008,centralized,2,trial1,False,1787682051.455,2026-08-25 23:50:51,2026-08-25 23:50:51,4.074,0.185,0.0,0.185,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0009,centralized,2,trial1,False,1787682051.457,2026-08-25 23:50:51,2026-08-25 23:50:51,3.398,0.091,0.0,0.091,True,200,False,EAST,WEST,remote,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
req_0010,centralized,2,trial1,False,1787682051.458,2026-08-25 23:50:51,2026-08-25 23:50:51,3.636,0.104,0.0,0.104,True,200,False,EAST,EAST,local,610fdb52a289288519770da336441a81957f92dc26fcf58537c517b65c2ce18b
