request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,edgesync_local,16,trial2,False,1787682060.191,2026-08-25 23:51:00,2026-08-25 23:51:00,9.339,0.388,0.0,0.388,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0002,edgesync_local,16,trial2,False,1787682060.193,2026-08-25 23:51:00,2026-08-25 23:51:00,10.39,0.228,0.0,0.228,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0003,edgesync_local,16,trial2,False,1787682060.202,2026-08-25 23:51:00,2026-08-25 23:51:00,18.348,0.826,0.0,0.826,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0004,edgesync_local,16,trial2,False,1787682060.201,2026-08-25 23:51:00,2026-08-25 23:51:00,15.291,0.261,0.0,0.261,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0005,edgesync_local,16,trial2,False,1787682060.204,2026-08-25 23:51:00,2026-08-25 23:51:00,17.455,0.567,0.0,0.567,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0006,edgesync_local,16,trial2,False,1787682060.21,2026-08-25 23:51:00,2026-08-25 23:51:00,22.175,0.278,0.0,0.278,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0007,edgesync_local,16,trial2,False,1787682060.216,2026-08-25 23:51:00,2026-08-25 23:51:00,27.054,0.389,0.0,0.389,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0008,edgesync_local,16,trial2,False,1787682060.205,2026-08-25 23:51:00,2026-08-25 23:51:00,13.889,0.337,0.0,0.337,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0009,edgesync_local,16,trial2,False,1787682060.222,2026-08-25 23:51:00,2026-08-25 23:51:00,27.366,0.355,0.0,0.355,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0010,edgesync_local,16,trial2,False,1787682060.213,2026-08-25 23:51:00,2026-08-25 23:51:00,18.478,0.202,0.0,0.202,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0011,edgesync_local,16,trial2,False,1787682060.217,2026-08-25 23:51:00,2026-08-25 23:51:00,22.477,0.281,0.0,0.281,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0012,edgesync_local,16,trial2,False,1787682060.223,2026-08-25 23:51:00,2026-08-25 23:51:00,25.998,0.313,0.0,0.313,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0013,edgesync_local,16,trial2,False,1787682060.222,2026-08-25 23:51:00,2026-08-25 23:51:00,21.532,0.623,0.0,0.623,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
req_0014,edgesync_local,16,trial2,False,1787682060.234,2026-08-25 23:51:00,2026-08-25 23:51:00,27.971,0.19,0.0,0.19,True,200,False,EAST,EAST,local,0dd7ac467cda5b5453254186b782e8b404cdb2c6af8ab545abe7659fa6ee6311
