request_id,architecture,concurrency,trial,warmup,timestamp,start_time,end_time,total_latency_ms,system_latency_ms,network_latency_ms,domain_latency_ms,success,http_status,fallback_triggered,region,target_region,local_or_remote,workload_hash
req_0001,edgesync_remote,16,trial1,False,1787682069.635,2026-08-25 23:51:09,2026-08-25 23:51:09,20.285,0.338,7.485,0.338,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0002,edgesync_remote,16,trial1,False,1787682069.636,2026-08-25 23:51:09,2026-08-25 23:51:09,19.775,0.174,7.984,0.174,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0003,edgesync_remote,16,trial1,False,1787682069.631,2026-08-25 23:51:09,2026-08-25 23:51:09,13.888,0.501,4.206,0.501,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0004,edgesync_remote,16,trial1,False,1787682069.65,2026-08-25 23:51:09,2026-08-25 23:51:09,30.612,0.45,5.953,0.45,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0005,edgesync_remote,16,trial1,False,1787682069.647,2026-08-25 23:51:09,2026-08-25 23:51:09,26.967,0.379,4.988,0.379,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0006,edgesync_remote,16,trial1,False,1787682069.653,2026-08-25 23:51:09,2026-08-25 23:51:09,31.549,0.37,7.033,0.37,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0007,edgesync_remote,16,trial1,False,1787682069.669,2026-08-25 23:51:09,2026-08-25 23:51:09,46.157,0.311,4.952,0.311,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0008,edgesync_remote,16,trial1,False,1787682069.663,2026-08-25 23:51:09,2026-08-25 23:51:09,39.528,0.348,7.033,0.348,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0009,edgesync_remote,16,trial1,False,1787682069.663,2026-08-25 23:51:09,2026-08-25 23:51:09,37.609,0.557,7.031,0.557,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0010,edgesync_remote,16,trial1,False,1787682069.676,2026-08-25 23:51:09,2026-08-25 23:51:09,47.984,0.187,7.321,0.187,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0011,edgesync_remote,16,trial1,False,1787682069.682,2026-08-25 23:51:09,2026-08-25 23:51:09,51.887,0.612,7.074,0.612,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0012,edgesync_remote,16,trial1,False,1787682069.676,2026-08-25 23:51:09,2026-08-25 23:51:09,44.394,0.298,5.902,0.298,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0013,edgesync_remote,16,trial1,False,1787682069.692,2026-08-25 23:51:09,2026-08-25 23:51:09,57.088,0.278,6.571,0.278,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0014,edgesync_remote,16,trial1,False,1787682069.686,2026-08-25 23:51:09,2026-08-25 23:51:09,50.685,0.366,7.925,0.366,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0015,edgesync_remote,16,trial1,False,1787682069.689,2026-08-25 23:51:09,2026-08-25 23:51:09,52.178,0.312,7.346,0.312,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0016,edgesync_remote,16,trial1,False,1787682069.715,2026-08-25 23:51:09,2026-08-25 23:51:09,76.213,0.297,8.454,0.297,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0017,edgesync_remote,16,trial1,False,1787682069.7,2026-08-25 23:51:09,2026-08-25 23:51:09,62.224,0.394,6.53,0.394,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0018,edgesync_remote,16,trial1,False,1787682069.72,2026-08-25 23:51:09,2026-08-25 23:51:09,80.223,0.281,9.694,0.281,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0019,edgesync_remote,16,trial1,False,1787682069.706,2026-08-25 23:51:09,2026-08-25 23:51:09,62.987,0.196,5.495,0.196,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0020,edgesync_remote,16,trial1,False,1787682069.693,2026-08-25 23:51:09,2026-08-25 23:51:09,46.341,0.158,5.552,0.158,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0021,edgesync_remote,16,trial1,False,1787682069.694,2026-08-25 23:51:09,2026-08-25 23:51:09,43.903,0.196,7.682,0.196,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0022,edgesync_remote,16,trial1,False,1787682069.701,2026-08-25 23:51:09,2026-08-25 23:51:09,48.022,0.398,7.843,0.398,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0023,edgesync_remote,16,trial1,False,1787682069.713,2026-08-25 23:51:09,2026-08-25 23:51:09,49.949,0.69,5.8,0.69,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0024,edgesync_remote,16,trial1,False,1787682069.716,2026-08-25 23:51:09,2026-08-25 23:51:09,52.255,0.196,8.493,0.196,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0025,edgesync_remote,16,trial1,False,1787682069.72,2026-08-25 23:51:09,2026-08-25 23:51:09,50.966,0.652,6.311,0.652,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0026,edgesync_remote,16,trial1,False,1787682069.734,2026-08-25 23:51:09,2026-08-25 23:51:09,58.142,0.147,12.324,0.147,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0027,edgesync_remote,16,trial1,False,1787682069.727,2026-08-25 23:51:09,2026-08-25 23:51:09,50.782,0.383,10.756,0.383,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0028,edgesync_remote,16,trial1,False,1787682069.734,2026-08-25 23:51:09,2026-08-25 23:51:09,51.621,0.17,4.907,0.17,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
req_0029,edgesync_remote,16,trial1,False,1787682069.735,2026-08-25 23:51:09,2026-08-25 23:51:09,48.723,0.325,4.403,0.325,True,200,False,EAST,WEST,remote,9b43033da9f8230cb4a8247e7d511383ff27ec9a6ee5b92f7e42864595489d71
