architecture,concurrency,N,total_p50_ms,total_p95_ms,total_p99_ms,total_mean_ms,system_mean_ms,network_mean_ms
centralized,1,300,2.153,2.905,3.605,2.354,0.08,0.0
centralized,2,300,2.845,5.119,8.689,3.36,0.183,0.0
centralized,4,300,6.691,9.684,11.672,6.892,0.246,0.0
centralized,8,300,12.877,19.346,23.989,13.444,0.263,0.0
centralized,16,300,21.636,32.143,34.493,22.039,0.238,0.0
centralized,32,300,32.669,54.07,71.157,33.342,0.254,0.0
centralized,64,300,37.181,60.284,71.226,37.544,0.266,0.0
edgesync_local,1,300,2.383,3.247,3.9,2.649,0.223,0.0
edgesync_local,2,300,3.212,6.473,12.054,3.809,0.254,0.0
edgesync_local,4,300,6.854,10.83,13.409,7.135,0.275,0.0
edgesync_local,8,300,12.123,18.37,21.26,12.445,0.269,0.0
edgesync_local,16,300,22.333,34.966,42.528,23.082,0.279,0.0
edgesync_local,32,300,36.022,63.427,80.367,37.236,0.267,0.0
edgesync_local,64,300,36.81,61.878,77.975,37.659,0.285,0.0
edgesync_remote,1,300,5.836,7.332,9.042,6.001,0.329,2.735
edgesync_remote,2,300,8.995,10.93,11.762,8.988,0.286,4.073
edgesync_remote,4,300,14.393,17.914,20.22,14.119,0.297,6.421
edgesync_remote,8,300,25.491,34.237,37.277,25.45,0.331,9.429
edgesync_remote,16,300,46.784,58.265,66.871,46.244,0.319,8.49
edgesync_remote,32,300,86.025,177.049,226.055,88.534,0.345,9.563
edgesync_remote,64,300,99.783,214.769,220.47,121.164,0.382,8.136
