architecture,concurrency,trial,cpu_percent,memory_rss_mb,throughput_rps,benchmark_duration_sec
centralized,1,trial1,35.6,131.5,367.5,0.2721
centralized,1,trial2,24.1,131.6,435.12,0.2298
centralized,1,trial3,27.1,131.6,427.0,0.2342
centralized,2,trial1,24.6,131.7,584.08,0.1712
centralized,2,trial2,60.0,131.8,521.2,0.1919
centralized,2,trial3,34.5,131.8,612.36,0.1633
centralized,4,trial1,32.5,131.8,581.31,0.172
centralized,4,trial2,35.6,131.8,563.26,0.1775
centralized,4,trial3,29.2,131.8,529.67,0.1888
centralized,8,trial1,54.0,132.1,538.37,0.1857
centralized,8,trial2,51.8,132.2,570.06,0.1754
centralized,8,trial3,57.0,132.3,565.12,0.177
centralized,16,trial1,66.2,132.7,605.35,0.1652
centralized,16,trial2,56.0,133.0,623.27,0.1604
centralized,16,trial3,58.1,132.1,622.07,0.1608
centralized,32,trial1,51.5,132.1,555.69,0.18
centralized,32,trial2,49.8,133.5,555.04,0.1802
centralized,32,trial3,44.8,134.0,535.51,0.1867
centralized,64,trial1,38.1,132.2,498.4,0.2006
centralized,64,trial2,27.1,132.4,517.77,0.1931
centralized,64,trial3,29.5,132.3,510.14,0.196
edgesync_local,1,trial1,37.6,132.4,342.42,0.292
edgesync_local,1,trial2,29.4,132.4,400.81,0.2495
edgesync_local,1,trial3,31.6,132.4,350.03,0.2857
edgesync_local,2,trial1,28.8,132.4,620.88,0.1611
edgesync_local,2,trial2,41.0,132.4,447.37,0.2235
edgesync_local,2,trial3,51.8,132.4,477.16,0.2096
edgesync_local,4,trial1,35.3,132.5,498.08,0.2008
edgesync_local,4,trial2,26.7,132.5,606.93,0.1648
edgesync_local,4,trial3,39.8,132.5,513.34,0.1948
edgesync_local,8,trial1,31.7,132.6,601.53,0.1662
edgesync_local,8,trial2,30.2,132.6,616.96,0.1621
edgesync_local,8,trial3,45.7,132.6,579.66,0.1725
edgesync_local,16,trial1,40.5,133.1,583.7,0.1713
edgesync_local,16,trial2,34.4,133.3,558.51,0.179
edgesync_local,16,trial3,32.3,133.4,578.94,0.1727
edgesync_local,32,trial1,34.5,133.7,516.46,0.1936
edgesync_local,32,trial2,41.6,132.7,482.46,0.2073
edgesync_local,32,trial3,31.0,132.3,515.06,0.1942
edgesync_local,64,trial1,35.5,133.5,467.94,0.2137
edgesync_local,64,trial2,41.9,133.8,489.45,0.2043
edgesync_local,64,trial3,36.8,133.9,465.1,0.215
edgesync_remote,1,trial1,36.4,133.9,162.73,0.6145
edgesync_remote,1,trial2,44.9,133.9,153.29,0.6524
edgesync_remote,1,trial3,32.7,133.9,174.56,0.5729
edgesync_remote,2,trial1,29.9,133.9,217.19,0.4604
edgesync_remote,2,trial2,25.9,133.9,217.64,0.4595
edgesync_remote,2,trial3,32.4,133.9,219.78,0.455
edgesync_remote,4,trial1,26.9,133.9,291.18,0.3434
edgesync_remote,4,trial2,26.5,133.9,275.42,0.3631
edgesync_remote,4,trial3,34.9,133.9,265.06,0.3773
edgesync_remote,8,trial1,34.4,133.9,309.62,0.323
edgesync_remote,8,trial2,32.9,133.9,286.77,0.3487
edgesync_remote,8,trial3,28.7,133.9,309.02,0.3236
edgesync_remote,16,trial1,41.7,134.0,304.28,0.3286
edgesync_remote,16,trial2,40.9,134.1,322.06,0.3105
edgesync_remote,16,trial3,34.6,134.1,326.99,0.3058
edgesync_remote,32,trial1,44.9,133.7,293.81,0.3404
edgesync_remote,32,trial2,35.3,133.6,298.64,0.3348
edgesync_remote,32,trial3,29.2,133.5,305.08,0.3278
edgesync_remote,64,trial1,36.9,133.6,267.47,0.3739
edgesync_remote,64,trial2,30.4,135.3,276.02,0.3623
edgesync_remote,64,trial3,33.3,133.7,241.32,0.4144
