architecture,concurrency,p50_latency_ms,p95_latency_ms,p99_latency_ms,p50_growth_from_c1_ms,p95_growth_from_c1_ms,p99_growth_from_c1_ms,p50_scaling_multiplier,p95_scaling_multiplier,mean_throughput_rps
centralized,1,2.153,2.905,3.605,0.0,0.0,0.0,1.0,1.0,433.39
centralized,2,2.845,5.119,8.689,0.692,2.214,5.084,1.32,1.76,601.59
centralized,4,6.691,9.684,11.672,4.538,6.779,8.067,3.11,3.33,592.57
centralized,8,12.877,19.346,23.989,10.724,16.441,20.384,5.98,6.66,596.73
centralized,16,21.636,32.143,34.493,19.483,29.238,30.888,10.05,11.06,669.85
centralized,32,32.669,54.07,71.157,30.516,51.165,67.552,15.17,18.61,600.12
centralized,64,37.181,60.284,71.226,35.028,57.379,67.621,17.27,20.75,560.99
edgesync_local,1,2.383,3.247,3.9,0.0,0.0,0.0,1.0,1.0,393.08
edgesync_local,2,3.212,6.473,12.054,0.829,3.226,8.154,1.35,1.99,558.21
edgesync_local,4,6.854,10.83,13.409,4.471,7.583,9.509,2.88,3.34,569.25
edgesync_local,8,12.123,18.37,21.26,9.74,15.123,17.36,5.09,5.66,649.56
edgesync_local,16,22.333,34.966,42.528,19.95,31.719,38.628,9.37,10.77,622.81
edgesync_local,32,36.022,63.427,80.367,33.639,60.18,76.467,15.12,19.53,548.01
edgesync_local,64,36.81,61.878,77.975,34.427,58.631,74.075,15.45,19.06,514.81
edgesync_remote,1,5.836,7.332,9.042,0.0,0.0,0.0,1.0,1.0,167.64
edgesync_remote,2,8.995,10.93,11.762,3.159,3.598,2.72,1.54,1.49,224.55
edgesync_remote,4,14.393,17.914,20.22,8.557,10.582,11.178,2.47,2.44,291.36
edgesync_remote,8,25.491,34.237,37.277,19.655,26.905,28.235,4.37,4.67,321.87
edgesync_remote,16,46.784,58.265,66.871,40.948,50.933,57.829,8.02,7.95,341.04
edgesync_remote,32,86.025,177.049,226.055,80.189,169.717,217.013,14.74,24.15,322.75
edgesync_remote,64,99.783,214.769,220.47,93.947,207.437,211.428,17.1,29.29,288.01
