architecture,concurrency,N,successful_requests,failed_requests,availability_pct,throughput_rps_mean,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,stddev_ms
centralized,1,300,300,0,100.0,433.39,2.153,2.629,2.905,3.605,2.354,1.575
centralized,2,300,300,0,100.0,601.59,2.845,4.379,5.119,8.689,3.36,2.173
centralized,4,300,300,0,100.0,592.57,6.691,9.13,9.684,11.672,6.892,2.944
centralized,8,300,300,0,100.0,596.73,12.877,17.749,19.346,23.989,13.444,3.772
centralized,16,300,300,0,100.0,669.85,21.636,29.71,32.143,34.493,22.039,6.058
centralized,32,300,300,0,100.0,600.12,32.669,50.628,54.07,71.157,33.342,13.54
centralized,64,300,300,0,100.0,560.99,37.181,55.649,60.284,71.226,37.544,13.856
edgesync_local,1,300,300,0,100.0,393.08,2.383,2.979,3.247,3.9,2.649,1.966
edgesync_local,2,300,300,0,100.0,558.21,3.212,5.29,6.473,12.054,3.809,2.366
edgesync_local,4,300,300,0,100.0,569.25,6.854,9.596,10.83,13.409,7.135,2.186
edgesync_local,8,300,300,0,100.0,649.56,12.123,16.921,18.37,21.26,12.445,3.52
edgesync_local,16,300,300,0,100.0,622.81,22.333,32.457,34.966,42.528,23.082,7.39
edgesync_local,32,300,300,0,100.0,548.01,36.022,56.619,63.427,80.367,37.236,15.578
edgesync_local,64,300,300,0,100.0,514.81,36.81,55.633,61.878,77.975,37.659,14.777
edgesync_remote,1,300,300,0,100.0,167.64,5.836,6.919,7.332,9.042,6.001,1.396
edgesync_remote,2,300,300,0,100.0,224.55,8.995,10.358,10.93,11.762,8.988,1.155
edgesync_remote,4,300,300,0,100.0,291.36,14.393,17.333,17.914,20.22,14.119,3.056
edgesync_remote,8,300,300,0,100.0,321.87,25.491,32.47,34.237,37.277,25.45,5.722
edgesync_remote,16,300,300,0,100.0,341.04,46.784,53.497,58.265,66.871,46.244,8.785
edgesync_remote,32,300,300,0,100.0,322.75,86.025,140.3,177.049,226.055,88.534,39.585
edgesync_remote,64,300,300,0,100.0,288.01,99.783,207.149,214.769,220.47,121.164,59.413
