architecture,concurrency,mean_throughput_rps,scaling_factor_vs_c1,trial1_rps,trial2_rps,trial3_rps
centralized,1,433.39,1.0,413.22,446.43,440.53
centralized,2,601.59,1.39,617.28,546.45,641.03
centralized,4,592.57,1.37,613.5,602.41,561.8
centralized,8,596.73,1.38,578.03,602.41,609.76
centralized,16,669.85,1.55,653.59,680.27,675.68
centralized,32,600.12,1.38,606.06,606.06,588.24
centralized,64,560.99,1.29,546.45,574.71,561.8
edgesync_local,1,393.08,1.0,378.79,409.84,390.62
edgesync_local,2,558.21,1.42,657.89,467.29,549.45
edgesync_local,4,569.25,1.45,529.1,641.03,537.63
edgesync_local,8,649.56,1.65,657.89,657.89,632.91
edgesync_local,16,622.81,1.58,641.03,602.41,625.0
edgesync_local,32,548.01,1.39,558.66,523.56,561.8
edgesync_local,64,514.81,1.31,502.51,529.1,512.82
edgesync_remote,1,167.64,1.0,165.29,160.0,177.62
edgesync_remote,2,224.55,1.34,223.21,224.72,225.73
edgesync_remote,4,291.36,1.74,304.88,289.86,279.33
edgesync_remote,8,321.87,1.92,331.13,307.69,326.8
edgesync_remote,16,341.04,2.03,323.62,343.64,355.87
edgesync_remote,32,322.75,1.93,314.47,321.54,332.23
edgesync_remote,64,288.01,1.72,294.12,303.95,265.96
