architecture,concurrency,trial,N,successful_requests,failed_requests,availability_pct,throughput_rps,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,stddev_ms,min_latency_ms,max_latency_ms
centralized,1,trial1,100,100,0,100.0,413.22,2.23,2.926,3.211,3.605,2.623,2.678,1.899,28.865
centralized,1,trial2,100,100,0,100.0,446.43,2.129,2.498,2.543,3.261,2.201,0.292,1.846,4.167
centralized,1,trial3,100,100,0,100.0,440.53,2.14,2.539,2.694,2.884,2.239,0.354,1.882,4.888
centralized,2,trial1,100,100,0,100.0,617.28,3.102,4.35,4.715,6.302,3.287,0.928,2.095,7.647
centralized,2,trial2,100,100,0,100.0,546.45,2.831,5.356,7.344,8.789,3.667,2.782,2.063,27.173
centralized,2,trial3,100,100,0,100.0,641.03,2.803,3.544,4.231,5.119,3.127,2.347,2.125,25.774
centralized,4,trial1,100,100,0,100.0,613.5,6.382,9.029,9.541,10.65,6.619,1.775,3.485,11.672
centralized,4,trial2,100,100,0,100.0,602.41,6.657,9.262,9.61,10.51,6.799,2.716,3.113,25.749
centralized,4,trial3,100,100,0,100.0,561.8,7.008,9.055,9.684,30.192,7.256,3.929,3.648,33.778
centralized,8,trial1,100,100,0,100.0,578.03,13.107,19.346,21.894,24.014,13.922,4.051,6.397,26.914
centralized,8,trial2,100,100,0,100.0,602.41,13.306,17.388,18.487,20.66,13.19,3.281,5.159,23.368
centralized,8,trial3,100,100,0,100.0,609.76,12.525,17.327,18.124,22.831,13.221,3.932,7.723,36.467
centralized,16,trial1,100,100,0,100.0,653.59,20.626,29.579,31.724,33.967,21.983,6.11,8.007,37.271
centralized,16,trial2,100,100,0,100.0,680.27,21.176,29.71,32.013,34.493,21.845,5.911,8.97,41.699
centralized,16,trial3,100,100,0,100.0,675.68,21.929,29.607,32.825,33.287,22.289,6.201,8.616,47.388
centralized,32,trial1,100,100,0,100.0,606.06,31.182,48.239,52.23,65.764,31.439,13.594,8.126,77.148
centralized,32,trial2,100,100,0,100.0,606.06,32.448,49.457,51.662,57.889,32.931,11.852,8.253,64.689
centralized,32,trial3,100,100,0,100.0,588.24,33.836,54.07,61.602,72.941,35.655,14.806,10.33,81.142
centralized,64,trial1,100,100,0,100.0,546.45,35.244,59.576,66.192,75.646,38.72,16.082,10.408,79.896
centralized,64,trial2,100,100,0,100.0,574.71,36.588,53.82,59.839,64.951,37.387,12.957,11.276,72.341
centralized,64,trial3,100,100,0,100.0,561.8,37.645,49.692,57.338,62.719,36.526,12.281,10.272,69.032
edgesync_local,1,trial1,100,100,0,100.0,378.79,2.484,3.108,3.387,4.074,2.814,2.335,2.038,25.613
edgesync_local,1,trial2,100,100,0,100.0,409.84,2.329,2.724,2.917,3.047,2.39,0.294,1.992,3.895
edgesync_local,1,trial3,100,100,0,100.0,390.62,2.369,2.996,3.479,3.9,2.744,2.455,2.03,26.722
edgesync_local,2,trial1,100,100,0,100.0,657.89,2.757,4.244,4.741,6.542,3.082,0.902,2.1,7.225
edgesync_local,2,trial2,100,100,0,100.0,467.29,3.98,6.588,7.925,12.054,4.292,2.157,1.978,16.88
edgesync_local,2,trial3,100,100,0,100.0,549.45,3.351,5.055,5.563,25.297,4.053,3.259,2.059,26.205
edgesync_local,4,trial1,100,100,0,100.0,529.1,7.303,10.405,11.624,18.363,7.625,2.653,3.431,19.449
edgesync_local,4,trial2,100,100,0,100.0,641.03,6.196,8.37,8.809,9.038,6.292,1.441,3.175,9.328
edgesync_local,4,trial3,100,100,0,100.0,537.63,7.221,10.634,10.901,12.491,7.489,2.056,3.507,14.141
edgesync_local,8,trial1,100,100,0,100.0,657.89,12.005,17.317,18.1,20.144,12.414,3.649,5.552,22.761
edgesync_local,8,trial2,100,100,0,100.0,657.89,11.684,16.065,17.959,20.007,12.022,3.358,6.1,22.171
edgesync_local,8,trial3,100,100,0,100.0,632.91,12.959,16.879,18.37,21.26,12.899,3.526,6.716,24.845
edgesync_local,16,trial1,100,100,0,100.0,641.03,23.438,33.374,35.09,39.895,23.185,7.686,9.555,48.121
edgesync_local,16,trial2,100,100,0,100.0,602.41,23.104,32.127,34.966,43.763,23.867,7.436,9.339,49.481
edgesync_local,16,trial3,100,100,0,100.0,625.0,21.257,31.513,33.575,39.242,22.193,7.009,7.482,40.18
edgesync_local,32,trial1,100,100,0,100.0,558.66,33.958,55.671,60.63,78.425,35.124,16.185,8.265,82.769
edgesync_local,32,trial2,100,100,0,100.0,523.56,41.093,62.373,66.234,80.367,40.607,16.516,8.921,106.267
edgesync_local,32,trial3,100,100,0,100.0,561.8,34.324,53.318,57.122,66.818,35.976,13.439,9.08,86.396
edgesync_local,64,trial1,100,100,0,100.0,502.51,37.949,55.385,60.645,75.273,38.226,13.797,7.417,75.857
edgesync_local,64,trial2,100,100,0,100.0,529.1,34.85,56.722,63.0,77.975,36.764,15.625,8.414,78.548
edgesync_local,64,trial3,100,100,0,100.0,512.82,37.095,55.433,61.878,79.788,37.988,14.959,8.519,82.9
edgesync_remote,1,trial1,100,100,0,100.0,165.29,5.974,6.693,7.202,7.501,6.016,0.682,4.69,9.2
edgesync_remote,1,trial2,100,100,0,100.0,160.0,6.033,7.332,8.782,10.031,6.383,2.167,4.611,25.782
edgesync_remote,1,trial3,100,100,0,100.0,177.62,5.513,6.324,6.927,7.291,5.603,0.648,4.613,8.558
edgesync_remote,2,trial1,100,100,0,100.0,223.21,8.975,10.08,10.358,11.735,9.051,0.836,7.413,11.84
edgesync_remote,2,trial2,100,100,0,100.0,224.72,9.149,10.666,11.168,11.694,9.022,1.403,5.727,12.612
edgesync_remote,2,trial3,100,100,0,100.0,225.73,8.805,10.351,11.264,11.762,8.89,1.159,5.611,12.106
edgesync_remote,4,trial1,100,100,0,100.0,304.88,13.489,16.559,17.365,18.675,13.404,2.606,6.388,20.434
edgesync_remote,4,trial2,100,100,0,100.0,289.86,14.392,16.597,17.698,18.016,14.241,3.383,6.955,38.844
edgesync_remote,4,trial3,100,100,0,100.0,279.33,15.412,17.783,18.392,20.22,14.711,3.014,7.805,21.868
edgesync_remote,8,trial1,100,100,0,100.0,331.13,25.051,32.583,33.871,36.334,24.783,6.027,9.947,38.525
edgesync_remote,8,trial2,100,100,0,100.0,307.69,26.94,32.214,34.273,37.277,26.711,5.304,14.387,51.506
edgesync_remote,8,trial3,100,100,0,100.0,326.8,25.417,31.831,33.92,36.286,24.857,5.659,10.116,37.319
edgesync_remote,16,trial1,100,100,0,100.0,323.62,50.654,57.236,58.78,76.213,48.023,10.034,13.888,80.223
edgesync_remote,16,trial2,100,100,0,100.0,343.64,46.069,52.7,57.583,61.976,45.627,7.704,16.279,66.871
edgesync_remote,16,trial3,100,100,0,100.0,355.87,46.369,50.395,54.539,66.841,45.08,8.252,19.642,68.006
edgesync_remote,32,trial1,100,100,0,100.0,314.47,85.948,129.128,167.737,210.052,87.445,38.049,14.119,213.159
edgesync_remote,32,trial2,100,100,0,100.0,321.54,86.874,154.218,182.807,242.461,91.43,42.452,17.273,243.295
edgesync_remote,32,trial3,100,100,0,100.0,332.23,83.456,127.145,167.51,217.494,86.729,38.338,18.316,226.822
edgesync_remote,64,trial1,100,100,0,100.0,294.12,94.573,192.277,193.959,195.78,120.216,57.702,21.498,197.107
edgesync_remote,64,trial2,100,100,0,100.0,303.95,89.131,169.706,172.979,178.688,106.148,50.278,18.327,183.022
edgesync_remote,64,trial3,100,100,0,100.0,265.96,113.932,215.403,218.354,225.325,137.128,65.708,23.057,225.56
